Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown110Bar060326\Down110Bar65Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:09:24.915;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:09:33.735;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;
46,516;0;-1;0,452408924;0,441215158;-0,343811395;60,59755242;61,34663808;0,134281442;0,145202036;0,109866634;0,112737684;108,9022492;110,1375065;;;;;;;;;;
46,517;0;-1;0,452408924;0,441215158;-0,383104126;60,60975982;61,34655802;0,134281442;0,145173151;0,109866634;0,112732849;108,8412122;110,1377066;;;;;;;;;;
46,518;0;-1;0,452408924;0,441215158;-0,353634578;60,60975982;61,34651651;0,134281442;0,145144355;0,109866634;0,112728029;108,8412122;110,1377146;;;;;;;;;;
46,519;0;-1;0,452408924;0,441215158;-0,353634578;60,59755242;61,34647512;0,134281442;0,145115648;0,109866634;0,112723223;108,8412122;110,1377226;;;;;;;;;;
46,52;0;-1;0,452408924;0,441215158;-0,36345776;60,5487228;61,34639557;0,146488845;0,145087031;0,122074038;0,112718433;108,8900418;110,1377305;;;;;;;;;;
46,521;0;-1;0,452408924;0,441215158;-0,343811395;60,52430799;61,34616309;0,134281442;0,145096796;0,122074038;0,112751952;108,8778344;110,1378916;;;;;;;;;;
46,522;0;-1;0,452408924;0,441215158;-0,383104126;60,52430799;61,34585474;0,146488845;0,145068237;0,122074038;0,112785367;108,8167974;110,1380139;;;;;;;;;;
46,523;0;-1;0,452408924;0,441215158;-0,373280943;60,52430799;61,34554734;0,146488845;0,145078061;0,122074038;0,112818679;108,8167974;110,1379443;;;;;;;;;;
46,524;0;-1;0,452408924;0,441215158;-0,36345776;60,5487228;61,3452409;0,146488845;0,145087855;0,109866634;0,112851887;108,8534196;110,137875;;;;;;;;;;
46,525;0;-1;0,452408924;0,441215158;-0,383104126;60,5609302;61,345012;0,146488845;0,145097618;0,109866634;0,112846698;108,8534196;110,1379208;;;;;;;;;;
