Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\pB_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34231E+17;onsdag 13. mai 2026;11:43:07.601;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34231E+17;onsdag 13. mai 2026;11:44:03.687;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,031;0,0041841;0,078226563;0,077012214;0;76,49159215;71,98581015;0,122074038;0,14112988;0,109866634;0,109163083;120,2185125;121,8289205;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,03E-68;1,14E-66;0;0;1,03E-68;0,030269128
0,032;0,0041841;0,078226563;0,077012214;0;76,43055513;72,00260826;0,134281442;0,141075324;0,109866634;0,109169329;120,2185125;121,8283763;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-9,23E-69;1,03E-66;0;0;9,23E-69;0,030269128
0,033;0,00488145;0,078226563;0,077012214;0;76,38172552;72,01916283;0,134281442;0,141059231;0,109866634;0,109175556;120,2795495;121,8278338;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-8,31E-69;9,23E-67;0;0;8,31E-69;0,030269128
0,034;0,005578801;0,078193584;0,076980896;0;76,3328959;72,03551289;0,134281442;0,141043188;0,109866634;0,109181763;120,291757;121,8274844;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-7,48E-69;8,31E-67;0;0;7,48E-69;0,030269128
0,035;0,006043701;0,078193584;0,076980896;0;76,3328959;72,0516591;0,134281442;0,141027195;0,109866634;0,109187951;120,291757;121,8271745;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-6,73E-69;7,48E-67;0;0;6,73E-69;0,030269128
0,036;0,006276151;0,078193584;0,076980896;0;76,28406629;72,06775525;0,134281442;0,141011252;0,09765923;0,10919412;120,2673421;121,8268655;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-6,06E-69;6,73E-67;0;0;6,06E-69;0,030269128
0,037;0,006276151;0,078193584;0,076980896;0;76,19861446;72,08364832;0,134281442;0,140995358;0,109866634;0,109161975;120,2795495;121,8264809;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-5,45E-69;6,06E-67;0;0;5,45E-69;0,030269128
0,038;0,006276151;0,078193584;0,076980896;0;76,10095523;72,09922407;0,134281442;0,140979513;0,109866634;0,109168225;120,3039644;121,8261357;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,91E-69;5,45E-67;0;0;4,91E-69;0,030269128
0,039;0,007205951;0,078193584;0,076980896;0;76,003296;72,11444517;0,134281442;0,140963718;0,109866634;0,109174455;120,2795495;121,8258682;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,42E-69;4,91E-67;0;0;4,42E-69;0,030269128
0,04;0,007903301;0,078193584;0,076980896;0;76,003296;72,12931273;0,134281442;0,140947971;0,109866634;0,109180666;120,2795495;121,825525;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,97E-69;4,42E-67;0;0;3,97E-69;0,030269128
0,041;0,008833101;0,078193584;0,076980896;0;75,91784417;72,1441342;0,122074038;0,140932273;0,109866634;0,109186857;120,2429273;121,8251828;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,58E-69;3,97E-67;0;0;3,58E-69;0,030269128
0,042;0,008833101;0,078193584;0,076980896;0;75,80797754;72,15864166;0,122074038;0,140878329;0,109866634;0,10919303;120,291757;121,8247268;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,22E-69;3,58E-67;0;0;3,22E-69;0,030269128
0,043;0,009065551;0,078193584;0,076980896;0;75,6981109;72,1727595;0,122074038;0,140824553;0,109866634;0,109199183;120,291757;121,8244254;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,90E-69;3,22E-67;0;0;2,90E-69;0,030269128
0,044;0,008368201;0,078193584;0,076980896;0;75,56382946;72,18648892;0,122074038;0,140770943;0,09765923;0,109205317;120,2429273;121,8241249;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,61E-69;2,90E-67;0;0;2,61E-69;0,030269128
0,045;0,007670851;0,078193584;0,076980896;0;75,56382946;72,19975453;0,122074038;0,140717499;0,09765923;0,109173138;120,2429273;121,8236722;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,35E-69;2,61E-67;0;0;2,35E-69;0,030269128
0,046;0,007438401;0,078160607;0,076949577;0;75,46617023;72,21297903;0,122074038;0,140664221;0,09765923;0,109141058;120,2551347;121,8232209;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,11E-69;2,35E-67;0;0;2,11E-69;0,030269128
0,047;0,007438401;0,078160607;0,076949577;0;75,30747398;72,22585617;0,122074038;0,140611109;0,09765923;0,109109078;120,3039644;121,8228092;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,90E-69;2,11E-67;0;0;1,90E-69;0,030269128
0,048;0,007438401;0,078193584;0,076980896;0;75,16098514;72,23819556;0,109866634;0,14055816;0,09765923;0,109077197;120,2795495;121,8225521;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,71E-69;1,90E-67;0;0;1,71E-69;0,030269128
0,049;0,007438401;0,078160607;0,076949577;0;75,0267037;72,25003716;0,109866634;0,140467082;0,09765923;0,109045414;120,2551347;121,8222191;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,54E-69;1,71E-67;0;0;1,54E-69;0,030269128
0,05;0,007670851;0,078160607;0,076949577;0;75,0267037;72,26142082;0,109866634;0,140376285;0,09765923;0,109013731;120,2551347;121,8218106;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,39E-69;1,54E-67;0;0;1,39E-69;0,030269128
