Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\SineWave_speedtreshold0.02_KvFF_PF_100bar_0.1freq_24.04.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34215E+17;fredag 24. april 2026;08:06:38.351;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34215E+17;fredag 24. april 2026;08:07:38.506;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,03;4,57E-53;0;0,034629916;0,034606953;-0,304518664;71,42551958;72,09599153;0,122074038;0,132403232;0,073244423;0,106602598;101,4069033;102,5810922;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,57E-53;5,08E-51;0
0,031;4,11E-53;0;0,034629916;0,034606953;-0,294695481;71,42551958;72,09655581;0,134281442;0,132375729;0,073244423;0,106501898;101,3214515;102,5812043;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,11E-53;4,57E-51;0
0,032;3,70E-53;0,00395165;0,034629916;0,034606953;-0,304518664;71,41331217;72,09711834;0,134281442;0,132386605;0,073244423;0,106401509;101,3458663;102,5810479;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,70E-53;4,11E-51;0
0,033;3,33E-53;0,004649;0,034629916;0,034606953;-0,294695481;71,41331217;72,09764083;0,134281442;0,132397447;0,073244423;0,106301432;101,3458663;102,5809687;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,33E-53;3,70E-51;0
0,034;3,00E-53;0,004649;0,034629916;0,034606953;-0,353634578;71,43772698;72,09816171;0,134281442;0,132408256;0,073244423;0,106201666;101,3702811;102,5808896;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,00E-53;3,33E-51;0
0,035;2,70E-53;0,005113901;0,034629916;0,034606953;-0,324165029;71,41331217;72,09875755;0,134281442;0,132419031;0,09765923;0,106102208;101,3458663;102,5808875;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,70E-53;3,00E-51;0
0,036;2,43E-53;0,005113901;0,034629916;0,034606953;-0,373280943;71,42551958;72,09927497;0,134281442;0,132429773;0,09765923;0,106079649;101,3092441;102,5808087;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,43E-53;2,70E-51;0
0,037;2,19E-53;0,005578801;0,034629916;0,034606953;-0,324165029;71,42551958;72,09982907;0,134281442;0,132440482;0,09765923;0,106057159;101,3580737;102,5806153;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,19E-53;2,43E-51;0
0,038;1,97E-53;0,005811251;0,034629916;0,034606953;-0,343811395;71,42551958;72,10038145;0,134281442;0,132451157;0,09765923;0,106034738;101,3580737;102,5805756;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,97E-53;2,19E-51;0
0,039;1,77E-53;0,005811251;0,034629916;0,034606953;-0,343811395;71,46214179;72,10093213;0,122074038;0,132461799;0,09765923;0,106012388;101,3702811;102,5805361;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-1,77E-53;1,97E-51;0
