Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\Ramp_04.05.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34223E+17;mandag 4. mai 2026;08:02:17.201;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34223E+17;mandag 4. mai 2026;08:03:05.623;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,068;0;0,004649;0,034535483;0,034512997;-0,373280943;67,9708243;68,76154699;0,122074038;0,12403805;0,134281442;0,110849149;95,77929014;96,86777547;0;0;0;0;0;0;0;0;0;0
0,069;0;0,00395165;0,034535483;0,034512997;-0,432220039;67,99523911;68,76161067;0,122074038;0,124036478;0,122074038;0,110926758;95,74266793;96,867945;0;0;0;0;0;0;0;0;0;0
0,07;0;0;0,034535483;0,034512997;-0,412573674;67,99523911;68,76175074;0,122074038;0,124034912;0,122074038;0,110965831;95,74266793;96,86799912;0;0;0;0;0;0;0;0;0;0
0,071;0;0;0,03456696;0,034544316;-0,402750491;68,00744652;68,76189038;0,122074038;0,12403335;0,122074038;0,111004783;95,73046052;96,86805307;0;0;0;0;0;0;0;0;0;0
0,072;0;0;0,03456696;0,034544316;-0,432220039;68,01965392;68,76206788;0,122074038;0,124031792;0,122074038;0,111043614;95,75487533;96,86806856;0;0;0;0;0;0;0;0;0;0
0,073;0;0;0,03456696;0,034544316;-0,432220039;68,00744652;68,76228312;0,122074038;0,12403024;0,109866634;0,111082325;95,75487533;96,86816059;0;0;0;0;0;0;0;0;0;0
0,074;0;0,0037192;0,03456696;0,034544316;-0,442043222;68,00744652;68,76245941;0,122074038;0,124028693;0,109866634;0,111082622;95,70604572;96,86825234;0;0;0;0;0;0;0;0;0;0
0,075;0;0,00488145;0,03456696;0,034544316;-0,412573674;68,00744652;68,76263514;0,122074038;0,12402715;0,109866634;0,111082917;95,70604572;96,86819062;0;0;0;0;0;0;0;0;0;0
0,076;0;0,005578801;0,03456696;0,034544316;-0,451866405;68,00744652;68,76281033;0,122074038;0,124025612;0,109866634;0,111083212;95,74266793;96,8681291;0;0;0;0;0;0;0;0;0;0
0,077;0;0,005578801;0,03456696;0,034544316;-0,333988212;68,00744652;68,76298498;0,122074038;0,124024079;0,09765923;0,111083506;95,77929014;96,86818265;0;0;0;0;0;0;0;0;0;0
