Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\-Pa_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34232E+17;onsdag 13. mai 2026;15:40:20.201;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34232E+17;onsdag 13. mai 2026;15:41:12.537;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,031;0;0,13701006;0,131381146;0;69,05728324;69,84065623;0,122074038;0,143354315;0,109866634;0,107304952;123,831904;125,2395919;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,46E-59;2,74E-57;0;0;2,46E-59;-0,00938095
0,032;0;0,13701006;0,131381146;0;69,05728324;69,84078289;0,122074038;0,143292863;0,109866634;0,107316958;123,7830744;125,2398098;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,22E-59;2,46E-57;0;0;2,22E-59;-0,00938095
0,033;0,00395165;0,13701006;0,131381146;0;69,06949065;69,84090916;0,122074038;0,143231601;0,09765923;0,107328927;123,8441115;125,2398739;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,99E-59;2,22E-57;0;0;1,99E-59;-0,00938095
0,034;0,00441655;0,136975501;0,131349828;0;69,08169805;69,84107334;0,122074038;0,143170529;0,109866634;0,107302565;123,8685263;125,2401293;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,79E-59;1,99E-57;0;0;1,79E-59;-0,00938095
0,035;0,00488145;0,136975501;0,131349828;0;69,06949065;69,8412753;0,122074038;0,143109647;0,109866634;0,107314578;123,8441115;125,2404604;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,62E-59;1,79E-57;0;0;1,62E-59;-0,00938095
0,036;0,00488145;0,136975501;0,131349828;0;69,06949065;69,84143834;0,122074038;0,143048953;0,109866634;0,107326555;123,8441115;125,240714;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,45E-59;1,62E-57;0;0;1,45E-59;-0,00938095
0,037;0,00488145;0,136975501;0,131349828;0;69,08169805;69,84160087;0,134281442;0,142988448;0,109866634;0,107338494;123,8563189;125,2409668;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,31E-59;1,45E-57;0;0;1,31E-59;-0,00938095
0,038;0,00488145;0,136975501;0,131349828;0;69,09390545;69,84180119;0,134281442;0,142966424;0,109866634;0,107350396;123,9051485;125,241257;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,18E-59;1,31E-57;0;0;1,18E-59;-0,00938095
0,039;0,005811251;0,136975501;0,131349828;0;69,08169805;69,84203919;0,134281442;0,142944469;0,109866634;0,107362262;123,8563189;125,2416996;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,06E-59;1,18E-57;0;0;1,06E-59;-0,00938095
0,04;0,006508601;0,136975501;0,131349828;0;69,06949065;69,84223816;0,134281442;0,142922582;0,109866634;0,10737409;123,7830744;125,2419876;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-9,54E-60;1,06E-57;0;0;9,54E-60;-0,00938095
