Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\spool_mapping_run1.csv;
1864;-0,2502;1864;-0,51097105508870211
1865;-0,2504;1865;-0,51190476190476186
1866;-0,2506;1866;-0,51260504201680668
1867;-0,2508;1867;-0,51260504201680668
1868;-0,251;1868;-0,51330532212885149
1869;-0,2512;1869;-0,51423902894491125
1870;-0,25139999999999996;1870;-0,51470588235294112
1871;-0,2516;1871;-0,51470588235294112
1872;-0,25179999999999997;1872;-0,51470588235294112
1873;-0,252;1873;-0,51493930905695606
1874;-0,2522;1874;-0,51540616246498594
1875;-0,2524;1875;-0,51540616246498594
1876;-0,2526;1876;-0,51540616246498594
1877;-0,2528;1877;-0,51540616246498594
1878;-0,253;1878;-0,515639589169001
1879;-0,2532;1879;-0,51657329598506074
1880;-0,25339999999999996;1880;-0,51774042950513544
1881;-0,2536;1881;-0,51844070961718025
1882;-0,25379999999999997;1882;-0,51844070961718025
1883;-0,254;1883;-0,51890756302521013
1884;-0,2542;1884;-0,51937441643324
1885;-0,2544;1885;-0,52007469654528482
1886;-0,2546;1886;-0,52100840336134457
1887;-0,2548;1887;-0,52100840336134457
1888;-0,255;1888;-0,52240896358543421
1889;-0,2552;1889;-0,52264239028944914
1890;-0,25539999999999996;1890;-0,5235760971055089
1891;-0,2556;1891;-0,52427637721755371
1892;-0,25579999999999997;1892;-0,52427637721755371
1893;-0,256;1893;-0,52474323062558359
1894;-0,2562;1894;-0,52474323062558359
1895;-0,2564;1895;-0,52521008403361347
1896;-0,2566;1896;-0,52544351073762841
1897;-0,25680000000000003;1897;-0,52544351073762841
1898;-0,257;1898;-0,52567693744164334
1899;-0,2572;1899;-0,52614379084967322
1900;-0,25739999999999996;1900;-0,52614379084967322
1901;-0,2576;1901;-0,526844070961718
1902;-0,2578;1902;-0,526844070961718
1903;-0,258;1903;-0,527077497665733
1904;-0,2582;1904;-0,52847805788982261
1905;-0,2584;1905;-0,5296451914098973
1906;-0,2586;1906;-0,53034547152194211
1907;-0,25880000000000003;1907;-0,53034547152194211
1908;-0,259;1908;-0,530578898225957
1909;-0,2592;1909;-0,53127917833800187
1910;-0,25939999999999996;1910;-0,53197945845004668
1911;-0,2596;1911;-0,53291316526610644
1912;-0,2598;1912;-0,53291316526610644
1913;-0,26;1913;-0,53408029878618113
1914;-0,2602;1914;-0,53478057889822594
1915;-0,2604;1915;-0,5357142857142857
1916;-0,2606;1916;-0,53618113912231558
1917;-0,26080000000000003;1917;-0,53618113912231558
1918;-0,261;1918;-0,53641456582633051
1919;-0,2612;1919;-0,53618113912231558
1920;-0,26139999999999997;1920;-0,53618113912231558
1921;-0,2616;1921;-0,5357142857142857
1922;-0,2618;1922;-0,5357142857142857
1923;-0,262;1923;-0,53594771241830064
1924;-0,2622;1924;-0,5357142857142857
1925;-0,2624;1925;-0,5357142857142857
1926;-0,2626;1926;-0,53641456582633051
1927;-0,26280000000000003;1927;-0,53641456582633051
1928;-0,263;1928;-0,53664799253034545
1929;-0,2632;1929;-0,53781512605042014
1930;-0,26339999999999997;1930;-0,53898225957049484
1931;-0,2636;1931;-0,53944911297852471
1932;-0,2638;1932;-0,53944911297852471
1933;-0,264;1933;-0,53991596638655459
1934;-0,2642;1934;-0,54061624649859941
1935;-0,2644;1935;-0,54154995331465916
1936;-0,2646;1936;-0,54271708683473385
1937;-0,26480000000000004;1937;-0,54271708683473385
1938;-0,265;1938;-0,54388422035480855
1939;-0,2652;1939;-0,5448179271708683
1940;-0,26539999999999997;1940;-0,545985060690943
1941;-0,2656;1941;-0,54645191409897287
1942;-0,2658;1942;-0,54645191409897287
1943;-0,266;1943;-0,54738562091503273
1944;-0,2662;1944;-0,54738562091503273
1945;-0,2664;1945;-0,54761904761904767
1946;-0,2666;1946;-0,54691876750700286
1947;-0,26680000000000004;1947;-0,54691876750700286
1948;-0,267;1948;-0,54761904761904767
1949;-0,2672;1949;-0,54761904761904767
1950;-0,26739999999999997;1950;-0,54808590102707755
1951;-0,2676;1951;-0,54831932773109249
1952;-0,2678;1952;-0,54831932773109249
