Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown120Bar060326\Down120Bar75Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:43:37.774;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:43:45.623;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;;
0,015;0,75;-1;0,453778321;0,442781084;0;60,12146367;60,8534003;0,122074038;0,142599088;0,109866634;0,113129332;119,6691794;121,0605858;;;;;;;;;;;
0,016;0,75;-1;0,453778321;0,442781084;0;60,12146367;60,85335579;0,122074038;0,142539977;0,122074038;0,113123283;119,6691794;121,0607002;;;;;;;;;;;
0,017;0,75;-1;0,453778321;0,442781084;0;60,12146367;60,85331142;0,122074038;0,14248105;0,122074038;0,113155547;119,6691794;121,0608142;;;;;;;;;;;
0,018;0,75;-0,892202912;0,453778321;0,442781084;0;60,10925626;60,85326719;0,109866634;0,142422305;0,122074038;0,113187711;119,7302164;121,0609279;;;;;;;;;;;
0,019;0,75;-0,769375294;0,453778321;0,442781084;0;60,10925626;60,8531848;0,109866634;0,142325447;0,109866634;0,113219775;119,7058016;121,0612327;;;;;;;;;;;
0,02;0,75;-0,646547675;0,45375097;0,442749765;0;60,10925626;60,85310266;0,109866634;0,14222889;0,109866634;0,113213446;119,6691794;121,06146;;;;;;;;;;;
0,021;0,75;-0,646547675;0,45375097;0,442749765;0;60,12146367;60,85302078;0,109866634;0,142132632;0,109866634;0,113207136;119,718009;121,0615717;;;;;;;;;;;
0,022;0,75;-0,523250352;0,453778321;0,442781084;0;60,12146367;60,85297745;0,109866634;0,142036672;0,109866634;0,113200845;119,718009;121,0618362;;;;;;;;;;;
0,023;0,75;-0,400187882;0,453778321;0,442781084;0;60,12146367;60,85293425;0,109866634;0,14194101;0,109866634;0,113194574;119,7302164;121,0620999;;;;;;;;;;;
0,024;0,75;-0,276890559;0,453778321;0,442781084;0;60,10925626;60,85289118;0,109866634;0,141845645;0,109866634;0,113188322;119,6813868;121,0624011;;;;;;;;;;;
0,025;0,75;-0,153123532;0,453778321;0,442781084;0;60,10925626;60,85280996;0,109866634;0,141750575;0,109866634;0,11318209;119,6813868;121,0625482;;;;;;;;;;;
0,026;0,75;-0,153123532;0,453778321;0,442781084;0;60,10925626;60,85272898;0,122074038;0,1416558;0,109866634;0,113175877;119,7302164;121,0626948;;;;;;;;;;;
0,027;0,75;-0,029591357;0,45375097;0,442749765;0;60,10925626;60,85264826;0,122074038;0,141599613;0,109866634;0,113169684;119,7302164;121,0629941;;;;;;;;;;;
