Time,<fPistonPosition_G_OPCfPistonPosition>,<fSpoolPosition_G_OPCfSpoolPosition>
0.673 sec,0,-1
0.674 sec,0,-1
0.675 sec,0,-1
0.676 sec,0,-1
0.677 sec,0,-1
0.678 sec,0,-1
0.679 sec,0,-1
0.68 sec,0,-1
0.681 sec,0,-1
0.682 sec,0,-1
0.683 sec,0,-1
0.684 sec,0,-1
0.685 sec,0,-1
0.686 sec,0,-1
0.687 sec,0,-1
0.688 sec,0,-1
0.689 sec,0,-1
0.69 sec,0,-1
0.691 sec,0,-1
0.692 sec,0,-1
0.693 sec,0,-1
0.694 sec,0,-1
0.695 sec,0,-1
0.696 sec,0,-1
0.697 sec,0,-1
0.698 sec,0,-1
0.699 sec,0,-1
0.7 sec,0,-1
0.701 sec,0,-1
0.702 sec,0,-1
0.703 sec,0,-1
0.704 sec,0,-1
0.705 sec,0,-1
0.706 sec,0,-1
0.707 sec,0,-1
0.708 sec,0,-1
0.709 sec,0,-1
0.71 sec,0,-1
0.711 sec,0,-1
0.712 sec,0,-1
0.713 sec,0,-1
0.714 sec,0,-1
0.715 sec,0,-1
0.716 sec,0,-1
0.717 sec,0,-1
0.718 sec,0,-1
0.719 sec,0,-1
0.72 sec,0,-1
0.721 sec,0,-1
0.722 sec,0,-1
0.723 sec,0,-1
0.724 sec,0,-1
0.725 sec,0,-1
0.726 sec,0,-1
0.727 sec,0,-1
0.728 sec,0,-1
0.729 sec,0,-1
0.73 sec,0,-1
0.731 sec,0,-1
0.732 sec,0,-1
0.733 sec,0,-1
0.734 sec,0,-1
0.735 sec,0,-1
0.736 sec,0,-1
0.737 sec,0,-1
0.738 sec,0,-1
0.739 sec,0,-1
0.74 sec,0,-1
0.741 sec,0,-1
0.742 sec,0,-1
0.743 sec,0,-1
0.744 sec,0,-1
0.745 sec,0,-1
0.746 sec,0,-1
0.747 sec,0,-1
0.748 sec,0,-1
0.749 sec,0,-1
0.75 sec,0,-1
0.751 sec,0,-1
0.752 sec,0,-1
0.753 sec,0,-1
0.754 sec,0,-1
0.755 sec,0,-1
0.756 sec,0,-1
0.757 sec,0,-1
0.758 sec,0,-1
0.759 sec,0,-1
0.76 sec,0,-1
0.761 sec,0,-1
0.762 sec,0,-1
0.763 sec,0,-1
0.764 sec,0,-1
0.765 sec,0,-1
0.766 sec,0,-1
0.767 sec,0,-1
0.768 sec,0,-1
0.769 sec,0,-1
0.77 sec,0,-1
0.771 sec,0,-1
0.772 sec,0,-1
0.773 sec,0,-1
0.774 sec,0,-1
0.775 sec,0,-1
0.776 sec,0,-1
0.777 sec,0,-1
0.778 sec,0,-1
